miners_info.55.miner_tao_bittensor_prediction,miners_info.55.miner_reward,miners_info.55.miner_moving_average,miners_info.55.miner_eth_prediction,miners_info.55.miner_btc_prediction
228.47498,0.1660001302535478,0.031044986764537062,2977.32166,88037.8881
228.12539,7.249894353620383e-08,0.029492741051257383,2977.12483,88061.01817
226.61272,0.014270590925148463,0.028731633544951934,2970.90024,87963.69647
228.96152,0.022314620191384152,0.028410782877273544,2979.25393,88085.12104
228.16406,0.16663356291992462,0.035321921879406096,2975.68711,88117.83382
227.1383,0.08516010036093387,0.03781383080348248,2975.96437,87989.47449
227.63818,0.057887751678458256,0.03881752684723127,2977.03457,87979.85242
229.28903,0.011451502754454897,0.03744922564259245,2985.66717,88147.82943
229.03743,0.011407433349731901,0.03614713602794942,2975.45098,87998.42811
229.3596,0.00913498466253657,0.034796528459678774,2980.13868,88041.59009
229.92649,0.020080645161290333,0.03406073429475935,2977.91163,88215.07115
228.18999,0.020080645161290333,0.0333617298380859,2988.55908,88169.63503
230.27152,0.011430609819982228,0.032265173837180715,2980.61281,88320.23318
227.98783,0.001144289798285623,0.03070912963523596,2985.76152,88213.6326
,3.4305461138028644e-08,0.029173674868747217,,
228.05693,0.00025749442084704014,0.027727865846352204,2973.90607,88083.40947
227.08331,0.00035557244651473156,0.02635925117636033,2983.96931,88265.72964
226.99548,0.0006271376283096554,0.025072645498957793,2982.96475,88070.17512
228.25591,3.032719134202761e-06,0.023819164859966612,2982.94259,88212.22433
225.96558,0.0019473224631500151,0.02272557274012578,2984.02631,88194.49474
227.47144,0.0037379878242582527,0.021776193494332404,2989.05682,88224.61345
227.74971,0.001531122438395385,0.02076393994153555,2990.37253,88310.64257
227.87824,0.00010534527132144199,0.019731010208024844,2989.01125,88222.92806
227.19251,0.00917989995051945,0.01920345469514957,2993.50483,88381.79145
226.69882,9.01104540796379e-09,0.01824328241094436,2987.51474,88299.98823
227.41557,0.20081486061164974,0.02737186132097963,2992.89566,88242.93342
,8.486463145767439e-14,0.02600326825493489,,
227.08821,0.13280236923117184,0.03134322330374673,2991.95302,88348.73691
228.17996,0.011407451938251335,0.030346434735471963,2987.56411,88162.55629
226.30544,0.0160489160093118,0.029631558799163953,2984.35831,88124.46976
226.9845,2.0383033378967832e-07,0.028149991050722443,2982.94848,88073.44021
226.67749,0.16600000221371886,0.03504249160887226,2979.61257,88059.89224
227.18057,3.7019429845494857e-06,0.03329055212557787,2982.87081,88200.05593
227.34806,0.00013874956188801587,0.03163296199739338,2982.02298,88131.56256
226.27993,0.021020356308092975,0.031102331712928356,2984.37788,88302.9004
227.68898,3.701945437804498e-06,0.02954740022455383,2983.83476,88323.72467
227.26631,5.392432686599358e-05,0.028072726429669438,2986.91399,88317.55504
226.292,0.03482225796370363,0.02841020300637115,2984.27796,88194.80365
226.84811,1.5553755353547254e-09,0.026989692933821367,2983.34988,88224.61857
227.988,3.463969052585113e-05,0.025641940271656588,2984.0673,88452.5228
226.62443,2.564785868316718e-10,0.024359843270897685,2985.22314,88214.25291
225.5748,0.004175780628243508,0.023350640138764974,2983.33809,88327.2843
226.45745,0.027206933450446794,0.02354345480434906,2984.93177,88314.88249
227.35051,1.2145481408424805e-06,0.022366342791538648,2982.89332,88315.80504
,0.011453784704317668,0.021820714887177597,,
229.07357,0.0009846812892246226,0.020778913207279946,2989.89721,88447.85511
229.06043,0.014273457938163543,0.020453640443824125,2985.31228,88407.52117
227.38002,0.01314538149788936,0.020088227496527385,2983.04698,88275.06239
229.25383,0.0024013719408493934,0.019203884718743482,2984.68973,88652.25211
227.05149,0.0009798912468765924,0.01829268504515014,2985.61089,88407.51541
228.19107,0.020216437588939287,0.018388872672339598,2980.07421,88354.27272
228.32016,0.0015311139038316733,0.0175459847339142,2978.55892,88189.68174
228.16117,6.676781639100438e-08,0.016668688835609312,2983.15988,88280.35818
227.68107,0.007300921222272493,0.01620030045494247,2977.26987,88550.2886
229.70805,0.017846179983013383,0.016282594431346015,2983.7347,88274.91358
229.43831,0.10722066739486524,0.020829498079521978,2986.86023,88550.81793
228.34101,5.008378995425869e-11,0.019788023178050066,2984.12511,88531.57467
230.45681,0.00841951021763044,0.019219597530029085,2986.50408,88291.65626
228.09171,7.3824233810606914e-06,0.018258986774696683,2977.24451,88346.33203
229.20907,0.11120285149721189,0.022906180010822442,2977.98847,88304.9859
229.5045,0.004935522427869694,0.022007647131674805,2974.13733,88385.35754
227.34787,0.14940031800184897,0.02837728067518351,2986.97802,88344.17869
230.19197,0.00040136337219799845,0.02697848481003423,2980.01644,88334.39977
229.43608,0.002992446270347136,0.025779182883049874,2968.0815,88190.27556
229.58633,5.621132846815419e-06,0.02449050479553972,2979.73107,88202.47038
231.9227,0.14021259427840005,0.030276609269682737,2971.22002,87999.14649
229.1805,0.05439546637256136,0.03148255212482667,2969.69197,88000.98477
226.83779,0.027850432955748954,0.03130094616637278,2968.74916,88262.82692
,0.023078574893466833,0.03088982760272748,,
228.88346,9.6107446904244e-10,0.02934533627064483,2979.73346,88168.15095
229.12755,3.1498264523752996e-10,0.027878069472861717,2972.81326,88146.18597
228.37685,0.028844191323456173,0.02792637556539144,2970.84373,88037.38677
229.54337,0.0348403046828093,0.028272072021262327,2979.79272,88565.50415
229.01294,0.00032109069845257123,0.026874522955121837,2991.68511,88313.82274
229.22601,0.06897500735409608,0.02897954717507055,2976.41704,88197.15262
232.05258,1.717630373340517e-07,0.02753057840446889,2983.38395,88147.82748
229.71689,0.00020671134483397484,0.026164385051487143,2974.63387,88188.76552
231.50339,0.0003210906977820355,0.02487222033380189,2986.0097,88424.66428
231.66688,2.4955969343058956e-13,0.023628609317124273,2973.31014,88292.48138
231.9168,0.0023923121220592158,0.022566794457371017,2985.17134,88175.11538
233.39459,6.242512132352555e-09,0.02143845504662807,2979.16351,88321.62233
232.22941,6.269391972211997e-07,0.020366563641256528,2984.21832,88301.25412
233.72647,2.2065288555385728e-05,0.01934933872362147,3007.01627,88208.81346
233.2055,6.783519299579785e-14,0.01838187178744379,2979.71502,88105.84723
228.52364,4.784311540884757e-09,0.017462778437287177,2985.09586,88286.74059
231.13423,0.01782436867287655,0.017480857949066647,2977.45869,88246.29121
,0.0002608464611512862,0.01661985737467088,,
231.0537,3.4504251400215594e-05,0.015790589718507345,2991.32893,88202.38558
231.50024,0.02785017991473401,0.016393569228318677,2988.2619,88428.64615
,0.000321383759883942,0.01558995995489694,,
231.61511,5.432125555918847e-05,0.014813178019930052,2981.92056,88232.65367
232.78209,0.00913173080078332,0.014529105658972715,2982.9047,88335.69401
232.66686,1.0191859050524532e-05,0.013803159968976606,3000.99412,88689.38573
230.22474,0.022316136007111097,0.01422880877088333,2989.65086,88354.78438
231.96984,2.189476864631803e-08,0.013517369427077595,2990.63711,88349.73332
230.2885,0.0037379879697436564,0.013028400354210897,2986.97104,88168.85221
231.60556,0.048189363633371625,0.014786448518168934,2992.71099,88312.10808
229.86576,8.424162151443708e-05,0.014051338173336208,2986.99602,88125.76949
228.83639,0.006715417283950622,0.013684542128866927,2989.35618,88349.5039
227.49405,0.02412282607040687,0.014206456325943924,2978.81748,88275.22137
229.51659,5.510328764044361e-16,0.013496133509646754,2994.44109,88458.73901
227.74952,0.020080645161290333,0.013825359092228932,2987.05628,88333.46074
228.32273,0.11091486100551852,0.01867983418789341,2983.15179,87770.11627
228.113,0.08499231799289901,0.02199545837814369,2974.7675,88217.66076
226.22962,2.9833912628996857e-06,0.02089583462879965,2978.49838,88256.72397
228.18626,0.011407435484614948,0.020421414671590414,2957.8323,88200.02355
227.0583,0.011407433138176007,0.019970715594919693,3001.07964,87996.24437
226.29548,0.0012267810508223083,0.019033518867714823,2971.24847,88364.02639
226.53821,0.0001322950995747738,0.018088457679307817,2988.51874,88108.42902
224.44315,0.08499662802858214,0.021433866196771532,2974.82239,87978.3156
226.50562,0.017827075817362377,0.021253526677801074,2967.77166,88192.62803
224.0046,0.004726354693533467,0.020427168078587694,2975.05237,87969.02501
226.88329,0.02228014284808185,0.0205198168170624,2963.69059,88089.52222
227.04898,0.0029906445504646354,0.01964335820373251,2974.96556,87978.3435
222.51372,2.5439911060154554e-07,0.018661203013501413,2961.84432,88147.57375
223.91914,2.4531992991581923e-09,0.017728142985486306,2982.57197,87803.08336
227.14096,0.0016164677643834878,0.01692255922443116,2978.7886,87423.92593
227.14034,0.027850178588393656,0.017468940192629286,2983.59927,88162.23045
229.12856,0.03515146604547368,0.018353066485271505,2978.42693,88168.51377
230.06356,1.6487126267973731e-07,0.017435421404571064,2987.10522,88028.85777
228.80487,5.330852889502032e-06,0.016563916876986988,2989.72033,88372.2529
229.06462,3.4476851144464947e-05,0.01573744487569486,2983.4018,88429.39802
229.558,1.4121719180521721e-05,0.014951278717869143,2979.06347,88323.73492
229.07422,3.2378966877124026e-10,0.014203714798165169,2994.00924,88234.57577
227.31774,0.16600189538498875,0.021793623827506346,2982.87577,88286.72205
228.93573,3.179937457717171e-07,0.02070395853581832,2989.53101,87989.7918
230.66236,1.20134300680774e-09,0.01966876066909455,2981.02543,88093.35069
227.88448,1.129753582329332e-05,0.018685887512430988,3003.18499,88153.17828
